scheme,screen,block_length,point_slope,bootstrap_se,bootstrap_median,ci_2_5,ci_97_5,mean_stocks_kept,published
moving,False,5,2.9471,1.7308,3.0098,1.1203,7.6654,99.0,True
moving,False,10,2.9471,1.613,2.8358,0.961,7.0194,99.0,True
moving,False,21,2.9471,1.9532,2.5446,0.8657,8.1471,99.0,True
moving,True,5,2.9471,1.8377,3.6275,1.7079,8.4548,80.175,False
moving,True,10,2.9471,1.6578,3.3912,1.6008,7.7705,79.5105,False
moving,True,21,2.9471,1.9888,3.1796,1.5719,8.8698,79.5385,False
circular,False,5,2.9471,1.7658,3.2297,1.1395,8.0625,99.0,False
circular,False,10,2.9471,1.8838,3.2459,1.15,8.5576,99.0,False
circular,False,21,2.9471,2.2928,3.1147,1.0715,9.8893,99.0,False
circular,True,5,2.9471,1.8543,3.7612,1.7361,8.7325,80.464,False
circular,True,10,2.9471,1.9687,3.7527,1.8211,9.3803,80.398,False
circular,True,21,2.9471,2.356,3.6157,1.7024,10.8882,80.756,False
stationary,False,5,2.9471,1.8619,3.2453,1.2147,8.4101,99.0,False
stationary,False,10,2.9471,2.3018,3.1647,1.1414,9.443,99.0,False
stationary,False,21,2.9471,2.3776,3.0575,1.0324,9.8987,99.0,False
stationary,True,5,2.9471,1.9608,3.821,1.7755,9.0906,80.1585,False
stationary,True,10,2.9471,2.4253,3.7352,1.7367,10.6219,80.748,False
stationary,True,21,2.9471,2.445,3.5994,1.683,10.7952,81.176,False
