n_above_p97_5,n_above_p99_9,sd_of_S,median_gap,r_squared,leaveout_r_squared
5,0,1.2896452146488984,38.71858518172261,0.5812296654886016,0.5737977279153812
2,0,1.150054262008648,40.69802157663942,0.5946451905746166,0.5993870106432728
2,0,1.1398834115374028,39.879796712425076,0.5770942065882758,0.5723117200481853
1,0,1.2398551686506427,39.7343847759564,0.5771347962256728,0.5672302762975137
1,0,1.2038776175294823,39.901562525825064,0.567500608088378,0.5477640795159586
1,0,0.9821214784087212,39.24717103005369,0.5957153406048126,0.6055905836501614
1,0,1.2705951991040247,38.41130481759215,0.5771849760519638,0.569961458424763
4,0,1.2294223185537856,39.86072327463336,0.5875924160323529,0.5769451860588954
1,0,1.1786125289062759,40.09659336282675,0.5937974316873682,0.604362419798087
3,0,1.1193929293476643,39.94074518817141,0.5859865464654781,0.5781994668950677
4,0,1.3534293500870764,39.53470088226232,0.5825549347471257,0.5771865814780301
1,0,1.0872235332432851,39.683777301964064,0.6052481267956296,0.615970577479272
1,0,1.1558518386971113,40.1058858707707,0.6000872201527587,0.614516024862951
3,0,1.19110320058475,39.350430374549504,0.5944746051570811,0.5957518504525696
3,0,1.2604189936716894,38.47495627260935,0.5764030973497241,0.5652414754942869
4,0,1.1692337308160121,41.09167975071798,0.5933777366577769,0.5947711693182539
5,0,1.4108512846277133,40.81068370640646,0.6052847267868734,0.6226985106630568
3,0,1.1823420099573656,41.37412078221128,0.5788162223430025,0.5626885050507235
4,0,1.364158926809346,40.09310632357109,0.5845485983200935,0.5820637540617596
1,0,1.1355035188245934,39.01733674066055,0.5923493543880263,0.5939638118848594
2,0,1.2733544135644435,39.72938632481515,0.5825487977833501,0.5829352510524872
2,0,1.229949028768318,39.78594600108155,0.584050768322524,0.5786878436259602
1,0,1.316803784552813,41.087674220896254,0.6139417868060186,0.6355267520464825
2,0,1.301632696823275,41.665951761882766,0.5855262811556399,0.5828455743573162
3,0,1.1507811604238736,39.242455633900455,0.5866719910082342,0.585212996871489
2,0,1.1390151684993077,40.09763057584448,0.5892056354345221,0.5896644092901523
5,0,1.2629125251445399,38.86901229857075,0.5925409486876037,0.5924012216963879
4,0,1.2113496848817475,40.146963130568025,0.5893164075002124,0.5842895659023288
5,1,1.2297048185179897,39.05426055292005,0.5782360755636329,0.5687993524659855
1,0,1.124462957918748,38.98202773648543,0.6010111071435595,0.6091813163718824
0,0,1.3167278036743213,40.35623445615432,0.5699867462534007,0.547177654279206
4,0,1.3359165753631717,40.49383090956115,0.5862818498465853,0.5790011519936527
1,0,1.1544791626021478,39.198807408480576,0.5950305230895736,0.6027833148594388
3,1,1.240211665970118,39.20530635824652,0.5850345591609485,0.5815745203351845
1,0,1.2256213641132447,39.3467762550102,0.593025993841741,0.5983422523033761
0,0,1.1538635832634896,40.34757392613043,0.5762894129221463,0.5635334753235696
1,0,1.1600982547044487,39.920792335066345,0.5844694224703222,0.5747215821747257
4,0,1.2303992837128825,39.522345858342035,0.5919470373226422,0.5926360506278738
2,0,1.1782409488758836,40.20780550301281,0.5817128960824692,0.5669206684316781
1,0,1.16980090967663,39.43060118397725,0.582923511025961,0.58151231813409
1,0,1.149609868638794,39.45610619200283,0.5817398252504804,0.5754865905876889
