ticker,date
NVDA,2026-02-06
NVDA,2025-11-10
NVDA,2026-05-06
NVDA,2026-03-31
NVDA,2025-10-28
NVDA,2026-05-14
NVDA,2025-06-25
NVDA,2026-04-24
NVDA,2025-07-15
NVDA,2026-04-27
AAPL,2025-08-06
AAPL,2025-09-22
AAPL,2025-08-08
AAPL,2026-02-02
AAPL,2025-10-20
AAPL,2025-09-03
AAPL,2026-05-01
AAPL,2025-09-19
AAPL,2025-08-07
AAPL,2026-02-17
AMZN,2025-10-31
AMZN,2026-04-09
AMZN,2025-09-04
AMZN,2025-08-06
AMZN,2025-11-03
AMZN,2026-03-04
AMZN,2026-04-14
AMZN,2026-03-31
AMZN,2026-04-08
AMZN,2026-04-24
GOOGL,2026-04-30
GOOGL,2025-09-03
GOOGL,2025-11-24
GOOGL,2026-03-31
GOOGL,2025-09-15
GOOGL,2025-11-10
GOOGL,2026-02-20
GOOGL,2026-05-13
GOOGL,2026-04-08
GOOGL,2026-04-14
GOOG,2026-04-30
GOOG,2025-09-03
GOOG,2025-11-24
GOOG,2026-03-31
GOOG,2025-09-15
GOOG,2026-05-13
GOOG,2025-11-10
GOOG,2026-02-20
GOOG,2025-10-27
GOOG,2026-04-14
AVGO,2025-11-24
AVGO,2025-10-13
AVGO,2025-09-10
AVGO,2025-09-05
AVGO,2026-02-06
AVGO,2026-04-07
AVGO,2026-05-14
AVGO,2026-03-31
AVGO,2026-04-22
AVGO,2026-04-08
TSLA,2025-06-23
TSLA,2026-04-15
TSLA,2025-09-12
TSLA,2025-11-24
TSLA,2025-08-22
TSLA,2025-09-11
TSLA,2025-06-10
TSLA,2025-10-06
TSLA,2025-10-13
TSLA,2025-07-02
LLY,2026-02-04
LLY,2026-04-30
LLY,2025-10-01
LLY,2025-08-26
LLY,2025-09-30
LLY,2026-02-23
LLY,2025-11-10
LLY,2025-06-10
LLY,2026-01-07
LLY,2026-05-28
WMT,2025-11-20
WMT,2025-10-14
WMT,2026-02-02
WMT,2025-08-06
WMT,2026-04-08
WMT,2026-02-12
WMT,2026-02-06
WMT,2026-04-30
WMT,2026-01-12
WMT,2026-02-03
JPM,2026-02-06
JPM,2026-03-31
JPM,2026-04-08
JPM,2025-12-10
JPM,2026-01-05
JPM,2025-10-13
JPM,2025-12-11
JPM,2026-02-03
JPM,2026-04-20
JPM,2026-05-20
AMD,2025-10-06
AMD,2026-05-06
AMD,2026-04-24
AMD,2026-05-08
AMD,2025-10-08
AMD,2025-10-15
AMD,2025-11-12
AMD,2025-06-16
AMD,2026-02-24
AMD,2026-02-06
UNH,2025-08-15
UNH,2026-04-07
UNH,2025-09-09
UNH,2026-04-21
UNH,2025-12-03
UNH,2025-07-01
UNH,2025-08-05
UNH,2026-01-28
UNH,2025-08-13
UNH,2026-02-25
ORCL,2025-09-10
ORCL,2025-06-12
ORCL,2026-04-13
ORCL,2026-05-29
ORCL,2026-02-09
ORCL,2026-03-11
ORCL,2025-06-13
ORCL,2026-05-28
ORCL,2025-12-19
ORCL,2026-05-01
XOM,2026-05-15
XOM,2026-02-03
XOM,2026-01-08
XOM,2026-05-11
XOM,2026-03-27
XOM,2026-02-18
XOM,2026-01-14
XOM,2025-07-08
XOM,2026-04-29
XOM,2026-02-04
JNJ,2025-07-16
JNJ,2025-12-10
JNJ,2025-11-11
JNJ,2026-05-13
JNJ,2026-01-12
JNJ,2026-01-14
JNJ,2025-08-04
JNJ,2025-07-22
JNJ,2025-09-30
JNJ,2025-07-01
BAC,2025-10-15
BAC,2026-03-31
BAC,2026-04-08
BAC,2025-08-12
BAC,2026-02-06
BAC,2026-02-25
BAC,2025-08-22
BAC,2025-10-14
BAC,2026-01-29
BAC,2025-08-08
ABBV,2025-10-01
ABBV,2026-01-07
ABBV,2025-09-11
ABBV,2025-09-30
ABBV,2026-04-30
ABBV,2025-11-12
ABBV,2026-02-27
ABBV,2025-08-01
ABBV,2026-04-29
ABBV,2026-02-12
CVX,2026-01-05
CVX,2025-07-08
CVX,2026-01-30
CVX,2026-03-11
CVX,2025-10-31
CVX,2026-03-12
CVX,2026-05-18
CVX,2026-01-08
