,gross_return_on_top_days,stand_alone_return_pct,wealth_share_L_pct,gap_reported,gap_from_identity,abs_error
MU,2.918648,191.864833,65.737565,651.700621,651.700621,0.0
AMD,3.17018,217.01798,68.456048,308.210464,308.210464,0.0
LRCX,2.11272,111.272023,52.667656,204.66267,204.66267,0.0
MRVL,2.419951,141.995148,58.676857,196.214002,196.214002,0.0
HPE,2.156154,115.615437,53.621131,136.461218,136.461218,0.0
AMAT,1.895895,89.589501,47.254463,136.220241,136.220241,0.0
KLAC,1.931381,93.138097,48.223576,122.329641,122.329641,0.0
CAT,1.853948,85.394836,46.061065,118.316429,118.316429,0.0
QCOM,2.405713,140.571343,58.432289,102.375666,102.375666,0.0
AVGO,2.050433,105.04327,51.229806,92.772267,92.772267,0.0
GOOGL,1.696856,69.685598,41.067479,92.727702,92.727702,0.0
PWR,1.797546,79.754577,44.368593,91.479415,91.479415,0.0
ORCL,3.003982,200.398245,66.710857,91.331528,91.331528,0.0
NEM,1.81563,81.562989,44.922696,89.697922,89.697922,0.0
GOOG,1.678104,67.81037,40.408927,89.591594,89.591594,0.0
TXN,1.944785,94.478503,48.580435,82.876004,82.876004,0.0
ADI,1.679088,67.908759,40.443845,78.872362,78.872362,0.0
STLD,1.649624,64.962406,39.380128,76.51157,76.51157,0.0
FCX,1.783565,78.35652,43.932524,72.73661,72.73661,0.0
APH,1.763836,76.383594,43.305385,71.798506,71.798506,0.0
NUE,1.503529,50.35295,33.489832,70.593309,70.593309,0.0
HUM,2.087695,108.769466,52.100275,69.85483,69.85483,0.0
CSCO,1.553932,55.393249,35.64714,68.777352,68.777352,0.0
FDX,1.54568,54.568031,35.303569,68.196415,68.196415,0.0
LLY,1.805951,80.59515,44.627527,66.471603,66.471603,0.0
ODFL,1.809611,80.961068,44.739495,63.396911,63.396911,0.0
C,1.555745,55.574482,35.722106,60.677769,60.677769,0.0
FTNT,1.819084,81.908436,45.027288,60.626671,60.626671,0.0
GS,1.531569,53.156922,34.707489,60.381858,60.381858,0.0
NVDA,1.644957,64.495688,39.208133,60.273374,60.273374,0.0
MRK,1.592958,59.295768,37.223693,60.062047,60.062047,0.0
PANW,1.708629,70.862929,41.473554,59.954252,59.954252,0.0
HII,1.71919,71.918961,41.833059,58.839316,58.839316,0.0
TSLA,1.855293,85.529273,46.10015,58.624368,58.624368,0.0
UNH,1.818773,81.877256,45.017864,57.769492,57.769492,0.0
CDNS,1.819169,81.916908,45.029848,57.713878,57.713878,0.0
MS,1.471355,47.13552,32.035446,53.148011,53.148011,0.0
SNPS,2.019121,101.912071,50.473491,51.498878,51.498878,0.0
TMO,1.682491,68.249081,40.564311,50.575943,50.575943,0.0
