sector,n,mean_volatility,mean_gap,slope,r_squared,p_value,p_bonferroni
Information Technology,21,44.4669,130.181,7.239,0.4118,0.0017,0.0154
Industrials,20,27.6594,49.0641,2.5732,0.4357,0.0015,0.0139
Financials,15,23.5432,35.2646,2.8408,0.4096,0.0102,0.0916
Health Care,15,31.0519,48.4811,0.9031,0.437,0.0073,0.0656
Materials,9,30.7526,51.4705,2.154,0.7392,0.003,0.0266
Consumer Discretionary,4,30.6055,44.8542,0.977,0.9567,0.0219,0.197
Consumer Staples,4,20.9204,33.2259,1.5754,0.9859,0.0071,0.0635
Energy,4,25.4999,38.9266,0.8076,0.6054,0.222,1.0
Utilities,4,18.4021,28.7307,2.2215,0.9962,0.0019,0.0173
Communication Services,3,26.5651,73.1027,,,,
Real Estate,1,20.9684,38.8573,,,,
