,buy_hold,miss_top_k,gap,volatility,volatility_leaveout,buy_hold_value,miss_top_k_value
MU,891.3672,239.6665,651.7006,66.1292,57.1705,9913671.5221,3396665.3087
AMD,350.2312,42.0207,308.2105,65.095,51.6905,4502311.6804,1420207.0418
LRCX,288.5927,83.93,204.6627,49.8886,44.8988,3885927.0505,1839300.3464
MRVL,234.3976,38.1836,196.214,58.6666,51.2037,3343975.9921,1381835.969
HPE,154.4915,18.0303,136.4612,43.0605,35.1075,2544914.9252,1180302.7482
AMAT,188.2696,52.0493,136.2202,45.8657,42.0109,2882695.7712,1520493.3622
KLAC,153.6719,31.3422,122.3296,45.6642,41.4107,2536718.5737,1313422.1621
CAT,156.8686,38.5522,118.3164,33.778,27.0484,2568686.3522,1385522.0641
QCOM,75.2039,-27.1717,102.3757,44.8404,33.268,1752039.286,728282.6225
AVGO,81.0904,-11.6819,92.7723,42.8903,35.9734,1810904.1105,883181.4417
GOOGL,125.7935,33.0658,92.7277,29.0412,23.2432,2257935.0826,1330658.058
PWR,106.1806,14.7011,91.4794,36.1583,29.6043,2061805.6302,1147011.4761
ORCL,36.9065,-54.425,91.3315,63.849,44.703,1369065.4158,455750.1378
NEM,99.6717,9.9738,89.6979,46.4465,43.1608,1996717.2744,1099738.0499
GOOG,121.7124,32.1208,89.5916,28.4101,22.6409,2217123.8164,1321207.8731
TXN,70.5954,-12.2806,82.876,38.9808,29.3997,1705954.3406,877194.2982
ADI,95.017,16.1446,78.8724,30.3485,26.0003,1950169.7063,1161446.084
STLD,94.2898,17.7782,76.5116,33.2454,29.8253,1942897.966,1177782.2668
FCX,65.5644,-7.1722,72.7366,47.1935,44.1785,1655643.7994,928277.6972
APH,65.7958,-6.0027,71.7985,40.5656,36.9466,1657957.9307,939972.8694
NUE,110.7903,40.197,70.5933,29.6133,27.316,2107902.7764,1401969.6863
HUM,34.0777,-35.7772,69.8548,48.6029,41.9762,1340776.5973,642228.3017
CSCO,92.9393,24.162,68.7774,29.5453,24.7477,1929393.2589,1241619.7419
FDX,93.1714,24.975,68.1964,28.1328,25.0672,1931714.4709,1249750.3224
LLY,48.9475,-17.5241,66.4716,37.9789,32.5663,1489475.3774,824759.3479
ODFL,41.7023,-21.6946,63.3969,38.4982,33.558,1417023.3965,783054.2837
C,69.8606,9.1828,60.6778,27.8624,24.4595,1698605.5697,1091827.8816
FTNT,34.6443,-25.9824,60.6267,44.557,37.7757,1346442.8571,740176.1497
GS,73.9736,13.5917,60.3819,27.158,24.0203,1739735.7031,1135917.1203
NVDA,53.7267,-6.5467,60.2734,33.6463,29.9938,1537267.1381,934533.3944
MRK,61.3543,1.2923,60.062,26.8729,22.397,1613543.4695,1012922.9997
PANW,44.5602,-15.3941,59.9543,37.5819,33.6742,1445601.9787,846059.461
HII,40.6527,-18.1866,58.8393,34.6044,30.0594,1406526.7221,818133.5654
TSLA,27.1674,-31.457,58.6244,46.3626,42.4144,1271674.1237,685430.4456
UNH,28.3257,-29.4438,57.7695,40.0944,34.4878,1283257.0556,705562.1378
CDNS,28.168,-29.5458,57.7139,36.3487,30.6847,1281680.4918,704541.7095
MS,65.9038,12.7558,53.148,25.1326,22.2618,1659037.6708,1127557.5567
SNPS,2.0315,-49.4673,51.4989,56.4622,51.3453,1020315.3521,505326.5743
TMO,24.6809,-25.8951,50.5759,30.9368,25.2906,1246808.8634,741049.4348
IBM,15.732,-34.819,50.551,37.6967,31.0262,1157320.0838,651810.1873
CVS,48.2824,-2.2043,50.4867,30.8738,28.0237,1482823.581,977957.048
REGN,25.9447,-23.2889,49.2336,32.83,27.9815,1259446.6256,767110.5638
AAPL,55.3287,6.7493,48.5794,22.1219,18.9778,1553287.0165,1067492.8364
GE,31.5151,-16.4056,47.9207,31.1571,27.8046,1315151.4859,835944.4945
AMZN,30.9654,-16.1963,47.1617,29.7808,25.9285,1309654.1139,838037.2179
ETN,27.0931,-19.0232,46.1163,32.0134,29.0228,1270930.9351,809768.2466
AMGN,20.2597,-25.3121,45.5718,27.1347,21.9647,1202597.1937,746878.7943
SBUX,19.4703,-24.2846,43.7549,28.6615,24.5957,1194703.3419,757154.2141
CSX,46.9248,3.1754,43.7495,22.3629,19.2481,1469248.3051,1031753.7326
BMY,23.0522,-20.4787,43.5309,26.4756,22.4444,1230521.9545,795212.5762
GILD,26.7141,-16.2106,42.9247,26.1754,22.3681,1267141.4969,837894.1646
COP,35.7909,-7.111,42.9019,29.3544,27.2182,1357909.3543,928890.0337
BA,9.3063,-33.4006,42.7069,31.4237,26.6894,1093062.8106,665994.1085
RTX,32.7828,-9.1494,41.9323,23.5703,20.0224,1327828.3628,908505.5053
BDX,13.0664,-28.7259,41.7923,24.9448,19.4271,1130663.8979,712741.164
