ticker,buy_hold_pct,prob_non_positive_pct,expected_log_return_given_positive,geometric_equivalent_pct,arithmetic_expected_return_pct,unconditional_expected_return_pct
NVDA,53.7267,9.9275,0.4948,64.0213,70.9938,62.5696
AAPL,55.3287,2.2609,0.4525,57.217,60.6742,59.13
AMZN,30.9654,18.1077,0.365,44.0474,48.0962,36.8315
GOOGL,125.7935,0.2391,0.8166,126.2811,135.7441,135.4005
GOOG,121.7124,0.2406,0.7983,122.1833,131.066,130.7321
AVGO,81.0904,8.1834,0.664,94.2643,108.5562,98.3197
TSLA,27.1674,30.1012,0.4699,59.9873,69.3441,41.4151
LLY,48.9475,14.5628,0.4994,64.7781,72.9947,59.949
WMT,16.9868,25.1293,0.2565,29.2383,31.2209,20.2344
JPM,15.2917,25.2469,0.2335,26.3004,27.9008,17.9474
AMD,350.2312,1.0029,1.5221,358.1633,459.8717,455.077
UNH,28.3257,26.5732,0.4274,53.3322,60.2935,38.9331
ORCL,36.9065,31.0321,0.6389,89.4458,111.4009,67.4536
XOM,45.454,6.1338,0.406,50.0847,53.6837,49.8027
JNJ,48.623,0.8607,0.4002,49.207,51.1794,50.6934
BAC,19.6928,19.8791,0.2537,28.8835,30.6563,22.4258
ABBV,20.2272,21.9617,0.2745,31.5853,33.7917,23.6857
CVX,37.9149,7.1934,0.354,42.47,45.1891,41.2917
KO,12.9172,22.1542,0.182,19.958,20.8288,14.3426
MRK,61.3543,3.6643,0.5007,64.9842,70.1409,67.2151
PEP,14.5564,26.4838,0.2322,26.1377,27.7467,17.2659
TMO,24.6809,23.6592,0.3448,41.1762,45.079,30.718
LIN,8.5742,31.2678,0.1691,18.4196,19.2601,10.1261
GE,31.5151,18.8202,0.3769,45.7724,50.2158,37.9764
IBM,15.732,34.83,0.3587,43.147,48.1626,24.1491
RTX,32.7828,11.3101,0.3342,39.6846,42.4487,36.4778
QCOM,75.2039,10.4173,0.6507,91.6955,106.4553,93.5018
TXN,70.5954,8.4031,0.5994,82.1004,92.9954,83.8951
CSCO,92.9393,1.2618,0.6669,94.8207,102.8578,101.4422
AMAT,188.2696,1.0112,1.0711,191.8648,222.2257,219.8419
GS,73.9736,2.0125,0.5671,76.3223,82.2685,80.4299
CAT,156.8686,0.2479,0.946,157.5355,172.2134,171.7638
BLK,9.2411,36.31,0.2371,26.755,28.6617,12.7769
MS,65.9038,2.1364,0.5193,68.0864,72.9023,71.1627
AXP,8.2813,37.8681,0.2372,26.771,28.7126,11.9322
LRCX,288.5927,0.3099,1.362,290.418,340.5329,339.4368
PLD,36.5097,6.7696,0.3405,40.562,42.9911,39.5074
VRTX,0.4737,49.4401,0.2704,31.0486,33.9949,6.3345
ADI,95.017,1.3413,0.6784,97.0786,105.6419,104.0959
DE,8.1612,39.345,0.2625,30.0144,32.5082,12.8129
REGN,25.9447,23.983,0.3641,43.9187,48.3974,32.8328
CB,4.5918,39.7705,0.1558,16.8579,17.6281,6.1713
KLAC,153.6719,2.0145,0.9534,159.4618,185.2213,181.1987
SCHW,0.395,49.34,0.1916,21.1144,22.4455,3.2861
C,69.8606,2.7878,0.548,72.987,78.9734,76.5019
MO,22.8352,17.8388,0.2766,31.8574,33.9376,25.933
EOG,24.0646,20.294,0.3076,36.0099,38.8092,28.3108
TJX,21.9667,12.8409,0.2407,27.2165,28.5622,23.8513
SO,5.691,36.0754,0.1463,15.7537,16.3999,6.973
WFC,6.0511,41.1773,0.2331,26.245,28.1736,9.7967
SBUX,19.4703,26.6178,0.3054,35.7103,38.7604,24.4188
ETN,27.0931,22.5604,0.3632,43.7895,48.1372,33.6939
NOC,17.9215,26.1531,0.2786,32.1241,34.5635,21.9162
ITW,4.4866,41.4104,0.1784,19.5302,20.5863,6.6457
ELV,6.5072,43.4222,0.3278,38.7856,43.2011,14.5078
PNC,31.4005,9.7045,0.3131,36.761,39.0067,34.3383
COP,35.7909,14.7202,0.3847,46.9211,51.1886,41.6965
APH,65.7958,10.4952,0.5875,79.9447,91.1296,79.8379
PANW,44.5602,16.1948,0.4778,61.2597,68.8877,55.0078
SNPS,2.0315,48.5707,0.4552,57.649,68.3175,19.4363
CDNS,28.168,24.6087,0.3992,49.062,54.744,36.8133
FTNT,34.6443,25.0913,0.4857,62.5345,71.9926,48.5202
MRVL,234.3976,1.9225,1.235,243.8378,302.5376,296.379
HPE,154.4915,1.4544,0.9501,158.6007,181.7419,178.9058
NEE,26.6978,15.5117,0.3024,35.3153,37.7543,30.1901
USB,31.08,10.5273,0.3146,36.9779,39.3146,34.1782
TFC,28.4562,13.4503,0.3071,35.9486,38.3521,31.7954
MET,8.2529,36.352,0.2133,23.7728,25.2708,11.0827
PRU,2.4182,45.7285,0.1867,20.5243,21.7412,4.9904
DUK,8.35,28.559,0.1476,15.9001,16.5031,9.4418
D,23.1221,15.1082,0.2636,30.166,31.9205,25.6495
APD,2.6533,45.7668,0.2064,22.9205,24.4465,5.8155
FCX,65.5644,14.1241,0.6265,87.1065,102.0254,84.8225
NEM,99.6717,6.7098,0.7558,112.9353,132.1447,122.1282
VZ,15.7183,25.4548,0.2411,27.2706,28.9989,18.5819
AMGN,20.2597,24.6999,0.2976,34.6598,37.4478,24.7149
GILD,26.7141,18.1422,0.3206,37.793,40.7568,31.0768
HUM,34.0777,27.1932,0.5134,67.1028,78.4271,50.675
CVS,48.2824,9.963,0.4536,57.3977,62.9893,55.4323
BMY,23.0522,21.5286,0.3055,35.7315,38.5482,27.3882
BDX,13.0664,31.0207,0.2497,28.3589,30.3779,16.5962
PPG,5.1111,43.1161,0.2484,28.2009,30.4793,9.5442
NUE,110.7903,0.5651,0.7505,111.7987,120.8554,120.1236
STLD,94.2898,2.2225,0.6821,97.7974,107.8362,105.1939
VMC,8.2,37.5645,0.2299,25.8493,27.6506,11.5974
MLM,7.8114,37.926,0.2252,25.2565,26.9807,11.0868
PWR,106.1806,2.2048,0.7429,110.2039,122.9103,119.9379
ODFL,41.7023,18.1193,0.4717,60.2725,67.9742,52.4676
CSX,46.9248,4.1742,0.4054,49.997,53.168,50.6002
UNP,22.7117,16.7971,0.2689,30.8476,32.7541,25.5193
NSC,26.6494,11.4505,0.2792,32.2034,34.0216,29.1157
FDX,93.1714,0.9276,0.6655,94.5371,101.8998,100.8744
UPS,17.1191,29.3451,0.2997,34.9459,37.9767,22.1787
LMT,13.0308,32.1668,0.2623,29.9856,32.2812,17.0557
BA,9.3063,38.787,0.2845,32.9048,35.9007,14.771
HII,40.6527,16.0672,0.4411,55.4435,61.6426,49.2248
GD,28.1036,11.5899,0.2934,34.0974,36.1471,30.8812
HON,14.3487,27.0365,0.2335,26.2988,27.9408,17.1289
MMM,6.5536,40.3228,0.2316,26.0565,27.9406,10.1907
